OBJECTID,sug,nashir,gil,koter,status,sivug,water,hibur,X,Y,X_google,Y_google
1,,,,,,,,,181469.0301,572299.8534,34.80567938,31.24164666
2,,,,,,,,,181469.1259,572308.5387,34.80568006,31.241725
3,,,,,,,,,181461.7971,572317.6749,34.80560278,31.24180716
4,,,,,,,,,181453.8827,572263.6367,34.80552175,31.24131953
5,,,,,,,,,181447.6527,572266.8305,34.80545624,31.24134814
6,,,,,,,,,181449.3317,572269.5718,34.80547376,31.24137291
7,,,,,,,,,181462.0249,572274.0203,34.80560683,31.24141345
8,,,,,,,,,181375.3654,572112.8785,34.80470329,31.23995729
9,,,,,,,,,181379.3617,572108.2218,34.80474542,31.23991543
10,,,,,,,,,181382.5493,572100.8413,34.80477916,31.23984897
11,,,,,,,,,181399.0186,572120.9599,34.80495127,31.24003095
12,,,,,,,,,181420.4033,572120.2471,34.80517576,31.24002522
13,,,,,,,,,181421.8431,572124.824,34.8051907,31.24006655
14,,,,,,,,,181429.9075,572134.529,34.80527498,31.24015434
15,,,,,,,,,181413.0815,572149.4713,34.8050978,31.24028855
16,,,,,,,,,181415.257,572153.9475,34.80512047,31.24032899
17,,,,,,,,,181451.0214,572210.3349,34.80549374,31.24083871
18,,,,,,,,,181448.6299,572207.2903,34.80546875,31.24081118
19,,,,,,,,,181424.1052,572175.4329,34.80521253,31.24052306
20,,,,,,,,,181457.7145,572216.503,34.80556376,31.24089456
21,,,,,,,,,181461.1949,572219.5634,34.80560018,31.24092228
22,,,,,,,,,181381.836,572066.8445,34.80477296,31.23954233
23,,,,,,,,,181376.5074,572061.1346,34.80471724,31.23949066
24,,,,,,,,,181375.0052,572059.8552,34.80470152,31.23947907
25,,,,,,,,,181367.223,572053.3344,34.80462008,31.23942
26,,,,,,,,,181241.6539,572181.7707,34.80329713,31.24057426
27,,,,,,,,,181191.0216,572204.0465,34.80276481,31.2407735
28,,,,,,,,,181103.2334,572175.7734,34.80184439,31.24051563
29,,,,,,,,,181108.8701,572154.4112,34.80190437,31.24032315
30,,,,,,,,,181061.8401,572126.3623,34.80141179,31.24006863
31,,,,,,,,,181313.0552,572136.6264,34.80404834,31.24016944
32,,,,,,,,,181310.5977,572133.7709,34.80402265,31.24014361
33,,,,,,,,,181098.1051,572066.2538,34.80179475,31.23952771
34,,,,,,,,,181366.0991,572135.1651,34.80460518,31.24015799
35,,,,,,,,,181760.346,572363.359,34.80873491,31.24222886
36,,,,,,,,,181764.39,572237.17,34.80878211,31.2410909
37,,,,,,,,,181780.95,572237.18,34.80895593,31.24109153
38,,,,,,,,,181779.74,572256.32,34.80894251,31.24126411
39,,,,,,,,,181753.9,572255.55,34.8086713,31.24125633
40,,,,,,,,,181760.16,572262.93,34.80873674,31.24132309
41,,,,,,,,,181744.45,572284.35,34.80857103,31.24151577
42,,,,,,,,,181790.02,572369.36,34.80904618,31.24228394
43,,,,,,,,,181782.71,572366.85,34.80896954,31.24226107
